Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,2,9,-126.0,-104.0,900.2712,631.4012,1425830.7500,6462435.5000,6.4624
2,2,8,-132.0,-104.0,610.7975,639.7037,954813.1250,4327595.0000,4.3276
3,2,7,-138.0,-104.0,586.1800,732.8675,799844.5000,3625215.2500,3.6252
4,2,6,-144.0,-104.0,343.7125,1430.5737,240262.0156,1088963.6250,1.0890
5,2,5,-150.0,-104.0,1055.4351,1851.5188,570037.5000,2583638.0000,2.5836
6,2,4,-156.0,-104.0,1062.9062,1405.1875,756415.9375,3428379.7500,3.4284
7,2,3,-162.0,-104.0,742.1400,567.4738,1307796.2500,5927456.0000,5.9275
8,2,2,-168.0,-104.0,23.2437,872.4888,26640.7460,120746.5234,0.1207
9,2,1,-174.0,-104.0,331.7437,27.9487,11869716.0000,53798304.0000,53.7983
10,3,1,-180.0,-98.0,559.5325,29.1200,19214716.0000,87088784.0000,87.0888
11,3,2,-174.0,-98.0,330.1688,183.7888,1796458.0000,8142266.5000,8.1423
12,3,3,-168.0,-98.0,476.4163,324.5487,1467934.5000,6653266.5000,6.6533
13,3,4,-162.0,-98.0,744.6875,583.9225,1275319.2500,5780257.0000,5.7803
14,3,5,-156.0,-98.0,659.8063,685.9637,961867.6250,4359569.0000,4.3596
15,3,6,-150.0,-98.0,1323.3925,641.3400,2063480.2500,9352518.0000,9.3525
16,3,7,-144.0,-98.0,799.3475,401.9700,1988575.1250,9013018.0000,9.0130
17,3,8,-138.0,-98.0,943.8438,620.4888,1521129.5000,6894367.5000,6.8944
18,3,9,-132.0,-98.0,789.3362,301.8500,2614995.0000,11852204.0000,11.8522
19,3,10,-126.0,-98.0,735.1937,204.4175,3596530.5000,16300915.0000,16.3009
20,3,11,-120.0,-98.0,724.5187,181.1113,4000407.5000,18131448.0000,18.1314
21,4,13,-114.0,-92.0,831.8137,129.3275,6431839.5000,29151670.0000,29.1517
22,4,12,-120.0,-92.0,636.4050,109.3213,5821421.5000,26385012.0000,26.3850
23,4,11,-126.0,-92.0,593.1613,116.5013,5091458.5000,23076528.0000,23.0765
24,4,10,-132.0,-92.0,787.9625,120.8200,6521789.0000,29559358.0000,29.5594
25,4,9,-138.0,-92.0,735.4838,218.6850,3363211.0000,15243418.0000,15.2434
26,4,8,-144.0,-92.0,649.6088,302.0562,2150621.7500,9747478.0000,9.7475
27,4,7,-150.0,-92.0,734.7725,368.3625,1994699.7500,9040777.0000,9.0408
28,4,6,-156.0,-92.0,703.4025,240.3625,2926423.7500,13263723.0000,13.2637
29,4,5,-162.0,-92.0,659.6063,226.2363,2915564.0000,13214503.0000,13.2145
30,4,4,-168.0,-92.0,533.9612,163.2225,3271370.5000,14827160.0000,14.8272
31,4,3,-174.0,-92.0,585.2075,130.5825,4481515.5000,20312022.0000,20.3120
32,4,2,-180.0,-92.0,484.5875,137.2937,3529567.5000,15997412.0000,15.9974
33,4,1,-186.0,-92.0,438.5100,74.5062,5885547.0000,26675654.0000,26.6757
34,5,1,-186.0,-86.0,475.2575,45.9062,10352785.0000,46922964.0000,46.9230
35,5,2,-180.0,-86.0,321.9125,98.8175,3257647.0000,14764960.0000,14.7650
36,5,3,-174.0,-86.0,33.5125,154.1550,217394.8437,985320.4375,0.9853
37,5,4,-168.0,-86.0,741.2913,123.8400,5985879.5000,27130402.0000,27.1304
38,5,5,-162.0,-86.0,51.9450,157.0125,330833.5625,1499470.1250,1.4995
39,5,6,-156.0,-86.0,263.5200,123.7387,2129648.2500,9652418.0000,9.6524
40,5,7,-150.0,-86.0,385.9113,79.5300,4852398.5000,21993012.0000,21.9930
41,5,8,-144.0,-86.0,343.1450,79.9100,4294143.5000,19462776.0000,19.4628
42,5,9,-138.0,-86.0,393.6125,60.8900,6464320.5000,29298888.0000,29.2989
43,5,10,-132.0,-86.0,718.0137,65.0375,11039997.0000,50037684.0000,50.0377
44,5,11,-126.0,-86.0,536.1738,92.4950,5796787.0000,26273358.0000,26.2734
45,5,12,-120.0,-86.0,652.7587,114.4912,5701386.0000,25840962.0000,25.8410
46,5,13,-114.0,-86.0,917.4425,239.2663,3834400.0000,17379036.0000,17.3790
47,6,14,-114.0,-80.0,1257.9237,671.9925,1871931.2500,8484341.0000,8.4843
48,6,13,-120.0,-80.0,1409.1238,251.3300,5606668.5000,25411666.0000,25.4117
49,6,12,-126.0,-80.0,215.4888,107.8363,1998296.1250,9057078.0000,9.0571
50,6,11,-132.0,-80.0,397.4438,79.8600,4976756.5000,22556652.0000,22.5567
51,6,10,-138.0,-80.0,348.9688,54.0425,6457303.0000,29267080.0000,29.2671
52,6,9,-144.0,-80.0,325.8263,47.8013,6816271.5000,30894070.0000,30.8941
53,6,8,-150.0,-80.0,340.9062,45.4362,7502958.0000,34006408.0000,34.0064
54,6,7,-156.0,-80.0,295.1663,41.9400,7037823.0000,31898230.0000,31.8982
55,6,6,-162.0,-80.0,300.5088,43.5800,6895565.5000,31253462.0000,31.2535
56,6,5,-168.0,-80.0,133.3788,169.1987,788296.3125,3572874.2500,3.5729
57,6,4,-174.0,-80.0,350.1313,47.2025,7417643.0000,33619728.0000,33.6197
58,6,3,-180.0,-80.0,529.3638,53.7150,9855046.0000,44667012.0000,44.6670
59,6,2,-186.0,-80.0,537.8675,83.7213,6424504.5000,29118426.0000,29.1184
